Отчет о ключевых словах в поисковой сети
19 февраля 2026 г. - 12 апреля 2026 г.
Статус ключевых слов,Ключевое слово,Тип соответствия,Группа объявлений,Статус,Причины статуса,Конверсии,Код валюты,Стоимость/конв.,Kлики,Показы,CTR,Расходы,Код валюты после конвертации,Оцен. ставка для показа вверху стр.,Расч. ставка для первой стр.,Расч. ставка для первой поз.,Показатель качества,Ожидаемый CTR,Релевантность объявлений,Кач-во целевой страницы,Коэфф. конверсии
Включено,"""заказать сайт""",Фразовое соответствие,Общие запросы,Допущено,,"7,00",UAH,"430,82",53,293,"18,09%","3015,74",UAH, --, --, --,5,Выше среднего,Ниже среднего,Ниже среднего,"13,21%"
Включено,"""создание веб сайт""",Фразовое соответствие,Общие запросы,Допущено,,"21,50",UAH,"543,55",226,2 116,"10,68%","11686,34",UAH, --, --, --, --, --, --, --,"9,51%"
Включено,"""розробка сайтів під ключ""",Фразовое соответствие,Общие запросы,Допущено,,"3,00",UAH,"125,28",5,57,"8,77%","375,83",UAH, --, --, --,7,Выше среднего,Выше среднего,Ниже среднего,"60,00%"
Включено,"""разработка сайта""",Фразовое соответствие,Общие запросы,Допущено,,"2,00",UAH,"244,44",9,159,"5,66%","488,87",UAH, --, --, --,7,Выше среднего,Среднее,Среднее,"22,22%"
Включено,"""розробка веб сайтів""",Фразовое соответствие,Общие запросы,Допущено,,"1,00",UAH,"474,77",6,128,"4,69%","474,77",UAH, --, --, --,4,Среднее,Среднее,Ниже среднего,"16,67%"
Включено,"""услуги создания сайта""",Фразовое соответствие,Общие запросы,Допущено,,"0,00",UAH,"0,00",1,10,"10,00%","24,03",UAH, --, --, --, --, --, --, --,"0,00%"
Включено,"""создание сайтов для продажи""",Фразовое соответствие,Общие запросы,Допущено,,"0,00",UAH,"0,00",0,0, --,"0,00",UAH, --, --, --, --, --, --, --,"0,00%"
Включено,"""створити сайт""",Фразовое соответствие,Общие запросы,Допущено,,"36,50",UAH,"541,67",469,4 432,"10,58%","19770,85",UAH, --, --, --,3,Среднее,Ниже среднего,Ниже среднего,"7,78%"
Включено,"""створення веб сайтів""",Фразовое соответствие,Общие запросы,Допущено,,"0,00",UAH,"0,00",3,61,"4,92%","111,08",UAH, --, --, --,3,Среднее,Ниже среднего,Ниже среднего,"0,00%"
Приостановлено,"""верстка сайтов""",Фразовое соответствие,Общие запросы,Приостановлено,приостановлено; низкое качество,"0,00",UAH,"0,00",4,306,"1,31%","133,45",UAH, --, --, --,2,Ниже среднего,Среднее,Ниже среднего,"0,00%"
Включено,"""розробка сайту""",Фразовое соответствие,Общие запросы,Допущено,,"12,00",UAH,"491,69",101,1 003,"10,07%","5900,32",UAH, --, --, --,7,Выше среднего,Среднее,Среднее,"11,88%"
Включено,"""створення сайту""",Фразовое соответствие,Общие запросы,Допущено,,"15,50",UAH,"499,70",139,2 104,"6,61%","7745,30",UAH, --, --, --,5,Среднее,Выше среднего,Ниже среднего,"11,15%"
Включено,"""заказать сайт под ключ""",Фразовое соответствие,Общие запросы,Допущено,,"0,00",UAH,"0,00",2,17,"11,76%","96,69",UAH, --, --, --,5,Выше среднего,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""замовити розробку сайту""",Фразовое соответствие,Общие запросы,Ограничено,низкое качество,"1,00",UAH,"163,65",2,109,"1,83%","163,65",UAH, --, --, --,1,Ниже среднего,Ниже среднего,Ниже среднего,"50,00%"
Включено,"""разработка сайта цена""",Фразовое соответствие,Общие запросы,Допущено,,"0,00",UAH,"0,00",4,49,"8,16%","166,24",UAH, --, --, --,5,Выше среднего,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""создание сайт цена""",Фразовое соответствие,Общие запросы,Допущено,,"2,00",UAH,"1616,79",83,622,"13,34%","3233,58",UAH, --, --, --, --, --, --, --,"2,41%"
Включено,"""замовити створення сайту""",Фразовое соответствие,Общие запросы,Допущено,,"3,00",UAH,"177,91",7,45,"15,56%","533,74",UAH, --, --, --,5,Выше среднего,Ниже среднего,Ниже среднего,"42,86%"
Включено,"""створення веб сайту""",Фразовое соответствие,Общие запросы,Допущено,,"0,00",UAH,"0,00",18,278,"6,47%","605,62",UAH, --, --, --,3,Среднее,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""створення сайту ціна""",Фразовое соответствие,Общие запросы,Допущено,,"7,00",UAH,"294,69",39,281,"13,88%","2062,84",UAH, --, --, --,5,Выше среднего,Ниже среднего,Ниже среднего,"17,95%"
Включено,"""создание и продвижение сайтов""",Фразовое соответствие,Общие запросы,Ограничено,низкое качество,"1,00",UAH,"164,13",2,18,"11,11%","164,13",UAH, --, --, --,2,Ниже среднего,Среднее,Ниже среднего,"50,00%"
Включено,"""разработка сайтов""",Фразовое соответствие,Общие запросы,Допущено,,"2,00",UAH,"568,31",20,303,"6,60%","1136,61",UAH, --, --, --,6,Выше среднего,Среднее,Ниже среднего,"10,00%"
Включено,"""создание сайта""",Фразовое соответствие,Общие запросы,Допущено,,"18,00",UAH,"458,45",156,2 045,"7,63%","8252,05",UAH, --, --, --,5,Среднее,Выше среднего,Ниже среднего,"11,54%"
Включено,"""разработка веб сайтов""",Фразовое соответствие,Общие запросы,Допущено,,"1,00",UAH,"352,23",9,101,"8,91%","352,23",UAH, --, --, --, --, --, --, --,"11,11%"
Включено,"""створити веб сайт""",Фразовое соответствие,Общие запросы,Допущено,,"0,00",UAH,"0,00",21,188,"11,17%","738,06",UAH, --, --, --,5,Выше среднего,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""разработка сайтов под ключ""",Фразовое соответствие,Общие запросы,Допущено,,"0,00",UAH,"0,00",0,6,"0,00%","0,00",UAH, --, --, --,3,Ниже среднего,Выше среднего,Ниже среднего,"0,00%"
 --,,"Итого (Все ключевые слова, кроме удаленных)", --, --,,"167,50",UAH,"555,44",1 880,19 566,"9,61%","93035,99",UAH, --, --, --, --, --, --, --,"8,91%"
,,Итого (Ключевые слова в кампании),,,,"171,00",UAH,"565,76",1 988,20 841,"9,54%","96745,48",,,,,,,,,"8,60%"
,,Итого (Ваши ключевые слова),,,,"171,00",UAH,"565,76",1 988,20 840,"9,54%","96745,48",,,,,,,,,"8,60%"
,,Итого (Расширенное соответствие в кампаниях AI Max),,,,"0,00",UAH,"0,00",0,0, --,"0,00",,,,,,,,,"0,00%"
,,Итого (Сопоставленные целевые страницы в кампаниях AI Max),,,,"0,00",UAH,"0,00",0,0, --,"0,00",,,,,,,,,"0,00%"
,,Итого (Включенные URL в кампании),,,,"0,00",UAH,"0,00",0,0, --,"0,00",,,,,,,,,"0,00%"
,,Итого (Кампания),,,,"171,00",UAH,"565,76",1 988,20 841,"9,54%","96745,48",,,,,,,,,"8,60%"
